"","STATE","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1","Alabama",4040389,4050055,4099156,4154014,4214202,4260229,4296800,4331102,4367935,4404701,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4785437,4799069,4815588,4830081,4841799,4852347,4863525,4874486,4887681,4903185
"2","Alaska",550043,553290,570193,588736,599432,603308,604412,608569,612968,619932,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,713910,722128,730443,737068,736283,737498,741456,739700,735139,731545
"3","Arizona",3665339,3684097,3788576,3915740,4065440,4245089,4432499,4586940,4736990,4883342,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6407172,6472643,6554978,6632764,6730413,6829676,6941072,7044008,7158024,7278717
"4","Arkansas",2350624,2356586,2383144,2415984,2456303,2494019,2535399,2572109,2601090,2626289,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2921964,2940667,2952164,2959400,2967392,2978048,2989918,3001345,3009733,3017804
"5","California",29811427,29959515,30470736,30974659,31274928,31484435,31696582,32018834,32486010,32987675,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37319502,37638369,37948800,38260787,38596972,38918045,39167117,39358497,39461588,39512223
"6","Colorado",3294473,3307618,3387119,3495939,3613734,3724168,3826653,3919972,4018293,4116639,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5047349,5121108,5192647,5269035,5350101,5450623,5539215,5611885,5691287,5758736
"7","Connecticut",3287116,3291967,3302895,3300712,3309175,3316121,3324144,3336685,3349348,3365352,3411777,3432835,3458749,3484336,3496094,3506956,3517460,3527270,3545579,3561807,3579114,3588283,3594547,3594841,3594524,3587122,3578141,3573297,3571520,3565287
"8","Delaware",666168,669567,683080,694925,706378,717545,729734,740977,751487,763335,786373,795699,806169,818003,830803,845150,859268,871749,883874,891730,899593,907381,915179,923576,932487,941252,948921,956823,965479,973764
"9","District of Columbia",606900,605321,600870,597565,595301,589239,580517,572377,567736,565230,572046,574504,573158,568502,567754,567136,570681,574404,580236,592228,605226,619800,634924,650581,662328,675400,685815,694906,701547,705749
"10","Florida",12938071,13033307,13369798,13650553,13927185,14239444,14537875,14853360,15186304,15486559,16047515,16356966,16689370,17004085,17415318,17842038,18166990,18367842,18527305,18652644,18845537,19053237,19297822,19545621,19845911,20209042,20613477,20963613,21244317,21477737
"11","Georgia",6478149,6512602,6653005,6817203,6978240,7157165,7328413,7501069,7685099,7863536,8227303,8377038,8508256,8622793,8769252,8925922,9155813,9349988,9504843,9620846,9711881,9802431,9901430,9972479,10067278,10178447,10301890,10410330,10511131,10617423
"12","Idaho",1006734,1012384,1041316,1071685,1108768,1145140,1177322,1203083,1228520,1252330,1299430,1319962,1340372,1363380,1391802,1428241,1468669,1505105,1534320,1554439,1570746,1583910,1595324,1611206,1631112,1651059,1682380,1717715,1750536,1787065
"13","Illinois",11430602,11453316,11568964,11694184,11809579,11912585,12008437,12101997,12185715,12271847,12434161,12488445,12525556,12556006,12589773,12609903,12643955,12695866,12747038,12796778,12840503,12867454,12882510,12895129,12884493,12858913,12820527,12778828,12723071,12671821
"14","Indiana",5544156,5557798,5616388,5674547,5739019,5793526,5851459,5906013,5955267,5998880,6091866,6127760,6155967,6196638,6233007,6278616,6332669,6379599,6424806,6459325,6490432,6516528,6537703,6568713,6593644,6608422,6634304,6658078,6695497,6732219
"15","Iowa",2776831,2781018,2797613,2818401,2836972,2850746,2867373,2880000,2891119,2902872,2929067,2931997,2934234,2941999,2953635,2964454,2982644,2999212,3016734,3032870,3050745,3066336,3076190,3092997,3109350,3120960,3131371,3141550,3148618,3155070
